"GEO_ID";"GEO_NAME";"VARIABLE";VALUE;"UNIT";"STATUS";"STATUS_DESC";"DESC_VAL";"PERIOD_REF";"SOURCE";"LAST_UPDATE";"GEOM_CODE";"GEOM";"GEOM_PERIOD";"MAP_ID";"MAP_URL"
"34";"Laufen-Uhwiesen";"Revenu net par habitant/-e, en francs";52890;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"35";"Marthalen";"Revenu net, en mio. de francs";80;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"35";"Marthalen";"Revenu net par habitant/-e, en francs";41834;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"37";"Ossingen";"Revenu net, en mio. de francs";62;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"37";"Ossingen";"Revenu net par habitant/-e, en francs";36997;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"38";"Rheinau";"Revenu net, en mio. de francs";48;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"38";"Rheinau";"Revenu net par habitant/-e, en francs";36652;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"39";"Thalheim an der Thur";"Revenu net, en mio. de francs";38;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"39";"Thalheim an der Thur";"Revenu net par habitant/-e, en francs";40178;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"40";"Trüllikon";"Revenu net, en mio. de francs";39;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
